target,init,shots,n_bits,sim_time_s,l2_error
qiskit-cpu,zero,65536,23,3.440043431997765,0.0039061903949004
qiskit-cpu,zero,65536,24,6.230878618007409,0.00390625
qiskit-cpu,zero,65536,25,9.5370127849892,0.0039064288098417
qiskit-cpu,zero,65536,26,20.991051049000816,0.0039061903949004
qiskit-cpu,zero,65536,27,36.079892444991856,0.003906548011856
qiskit-cpu,zero,131072,3,0.0551135819987393,0.0029181212356025
qiskit-cpu,zero,131072,4,0.0520534640090772,0.0030834837707128
qiskit-cpu,zero,131072,5,0.0597229300037724,0.0022001247877254
qiskit-cpu,zero,131072,6,0.0612877149978885,0.0021700229878735
qiskit-cpu,zero,131072,7,0.1044051839999156,0.0025967975502193
qiskit-cpu,zero,131072,8,0.1246950209897477,0.0028743281927111
qiskit-cpu,zero,131072,9,0.1489807899924926,0.0026462673436097
qiskit-cpu,zero,131072,10,0.1563571110018529,0.0028362883437487
qiskit-cpu,zero,131072,11,0.1482531179935904,0.0027225930262686
qiskit-cpu,zero,131072,12,0.1632146100018872,0.0027151856447275
qiskit-cpu,zero,131072,13,0.1762388540082611,0.0027585299547435
qiskit-cpu,zero,131072,14,0.2069237810064805,0.0027596480796062
qiskit-cpu,zero,131072,15,0.1484786679939134,0.0027458401843737
qiskit-cpu,zero,131072,16,0.1664690979960141,0.0027595848016158
qiskit-cpu,zero,131072,17,0.2231529600103385,0.0027659896122625
qiskit-cpu,zero,131072,18,0.2346531000075629,0.0027698169837945
